"District","Confirmed","Recovered","Active","Death"
"Ernakulam","942032","926106","2566","8526"
"Thiruvananthapuram","754705","744806","1739","8645"
"Thrissur","685065","679073","815","7560"
"Kozhikode","684600","681140","154","6469"
"Malappuram","651330","646693","262","6480"
"Kollam","528398","523662","400","6655"
"Kottayam","475156","470395","1175","4670"
"Palakkad","456523","447170","467","5817"
"Alappuzha","401742","398515","457","5272"
"Kannur","352701","348670","74","4479"
"Pathanamthitta","281518","275493","493","2617"
"Idukki","215841","212522","312","1552"
"Wayanad","170052","167938","74","981"
"Kasaragod","168283","164554","88","1400"